device_id,representation_category,in_a_legacy,in_a_normative_fairness,in_a_representation_demographic,normative_terms_hit,has_bias,has_demographic_window,first_representation_snippet
K081140,technical_ml,1,0,0,,0,1,e device that through advanced signal processing can combine physiological signals in order to produce a single index (Visensiae index) representation of patient condition. Visensia® is a computerized analysis system that can accept multiple channels of physiological data (for example h
K170250,demographic_fairness,1,0,1,,0,1,"RUS images is calculated. The system software reproduces and supplements the visual information provided by real-time TRUS images, and superimposes a graphical representation of one or more target regions on to the reproduced TRUS images. The target region(s) may represent a tumor, another tissue structure visible in the diagnostic/"
K180038,technical_ml,1,0,0,,0,1,only automatic representation) Stimulation
K181988,technical_ml,1,0,0,,0,1,where they are displayed to the user together with the heart sound recording. The user can utilize the heart sound analysis results and the acoustic and visual representation of the heart sound recordings as decision support data in their decision-making process regarding the presence and type of a heart murmur. TECHNOLOGICAL CHARA
K182130,unclear_manual_review,1,0,0,,0,1,and software verification and validation testing of the RAPID system. This performance validation testing demonstrated that the RAPID system provides accurate representation of key processing parameters under a range of clinically relevant parameters and perturbations associated with the intended use of the software. Software perfo
K182218,demographic_fairness,1,0,1,,1,1,"S Contact (US Agent) Rene Van De Zande Director & GM Emergo Global Representation LLC 2500 Bee Cave Road Building 1, Suite 300 Austin, TX 78746"
K192130,demographic_fairness,1,0,1,,0,1,"eft and right lateral ventricles, and of the fourth ventricle, overlaid on the input NCCT image. New output formats: • DICOM structured report representation of a natural language report • DICOM encapsulated PDF representation of a natural language report 6.7 Performance testing Quality and safety ico bra"
K192962,unclear_manual_review,1,0,0,,0,1,range of clinically relevant range of clinically relevant values of perfusion provides accurate representation of key values of perfusion parameters as ground truth. Correlations diffusion a
K193631,unclear_manual_review,1,0,0,,0,1,representation and
K200760,unclear_manual_review,1,0,0,,0,1,andalone software and as integrated within the Rapid Platform. This performance validation testing demonstrated that the Rapid ASPECTS module provides accurate representation of key processing parameters under a range of clinically relevant parameters and perturbations associated with the intended use of the software. Software perfo
K200941,unclear_manual_review,1,0,0,,0,1,and software verification and validation testing of the Rapid system. This performance validation testing demonstrated that the Rapid system provides accurate representation of key processing parameters under a range of clinically relevant parameters and perturbations associated with the intended use of the software. Software perfo
K201039,demographic_fairness,1,0,1,,0,1,"US Contact (US Agent) Michael van der Woude Director & GM Emergo Global Representation LLC 2500 Bee Cave Road, Building 1, Suite 300 Austin, TX 78746"
K201985,demographic_fairness,1,0,1,,0,1,"provides beat-level annotations, including beat-level QRS locations, and, for sinus rhythm ECGs, PVC/not-PVC annotations. It also provides an average beat ECG representation, and the R-R interval tachogram. Recording and viewing of ECGs and the results of the KardiaAI analyses are to be provided by other AliveCor FDA-cleared device"
K210085,unclear_manual_review,1,0,0,,0,1,ation data-set consisted of anonymized CT scans of the chest from two healthcare institutions composed of multiple clinical sites. The sample included representation of each coronary calcium detection category. Ground truth category was determined by the majority agreement of two of three radiologists. The objective
K210556,technical_ml,1,0,0,,0,1,ions of various implant models are available in the planning software. Preview Shoulder allows the user to digitally perform the surgical planning by showing a representation of the patient’s shoulder anatomy as a 3D model and allows the surgeon to place the implant in the patient’s anatomy. The software allows the surgeon to genera
K212261,demographic_fairness,1,0,1,,0,1,"cclusion (LVO). Performance was reported on a heterogenous dataset of 400 independent studies (217 LVO cases and 183 non-LVO cases). The dataset had sufficient representation of relevant parameters such as age, sex, scanner vendor, and slice thickness. The dataset had a reasonably balanced prevalence of LVO (54.3%; 217 positive case"
K212442,demographic_fairness,1,0,1,,0,1,"Phone number +44 1223 778 020 Email rob.hague@cydar.co.uk US Agent: Contact Name Michael van der Woude Business Name Emergo Global Representation LLC Address 2500 Bee Cave Road Bldg 1, Suite 300 Austin, TX 78746 United States Phone"
K212516,demographic_fairness,1,0,1,,0,1,"IRNF 2.0 - K212516 The studies used to train the convolutional neural network recruited demographically diverse populations with broad representation of age, sex, BMI, race, and skin tones. Table 2 below summarizes approximate development study demographic characteristics: Table 2."
K212519,unclear_manual_review,1,0,0,,1,1,"aries Assist Software: K212519 The software provides graphical Three layers: Processing representation of the density change - The Network layer works with the Architectu in a tooth, by looking for a pattern pra"
K212654,unclear_manual_review,1,0,0,,0,1,olled and held in the operator's hand. ● Cassette: This component contains the X-ray detector that collects the X-ray energy and provides a digital representation to the control unit for eventual display. This component also contains status lights and IR lights to assist in X-ray field positioning. The patient an
K213096,demographic_fairness,1,0,1,,0,1,d Companion (Engine) software platform. The platform and each of the extensions are distinct software components and thus separate medical devices. A pictorial representation of the interaction between the Al-Rad Companion (Engine) and optional Al-Rad Companion extensions is provided in the figure below. The scope of this submissi
K213165,unclear_manual_review,1,0,0,,1,1,and software verification and validation testing of the Rapid system. This performance validation testing demonstrated that the Rapid system provides accurate representation of key processing parameters under a range of clinically relevant parameters and perturbations associated with the intended use of the software. Software perfo
K213272,technical_ml,1,0,0,,0,1,components are overlapped. Digital Overlap of Allows the overlap of the digital Allows the overlap of models and the Prosthetic Material representation of prosthetic intersection of the models components Interactive Model Yes Yes Positioning I
K213566,demographic_fairness,1,0,1,,0,1,"(18 and older) patient images from multiple sources were evaluated, including >400 true positive PTX and >600 true negative PTX cases, with approximately equal representation of male and female studies. Truth was determined by a panel of 3 senior board-certified radiologists with expertise in thoracic radiology. To assess performanc"
K213645,demographic_fairness,1,0,1,,0,1,"ization Module  Exporting Module The segmented brain structures are color coded and overlayed onto the MR images or be displayed as 3-D triangular mesh representation. The viewing capabilities of the device also provides anatomic orientation labels (left, right, inferior, superior, anterior, posterior), image slice selection"
K213706,demographic_fairness,1,0,1,,1,1,the processed data). MPRAGE data). Brain Calculation of deviation Calculation of Morphometry: map (representation of deviation map Not available brain status in relation to (representation of brain Deviation Map reference data) and
K213776,demographic_fairness,1,0,1,,0,1,"99 US Contact (US Agent) Michael van der Woude Director & GM Emergo Global Representation LLC 2500 Bee Cave Road, Building 1, Suite 300 Austin, TX 78746"
K213944,unclear_manual_review,1,0,0,,0,1,"nimum of four vertebrae between T1 to L4 from two healthcare institutions composed of multiple clinical sites in the US and OUS. The sample included sufficient representation from across the disease spectrum for the two key measurement parameters provided by the device, namely vertebral height, and mean trabecular bone attenuation"
K213971,demographic_fairness,1,0,1,,0,1,"AFib History Feature (K213971) The studies used to train the convolutional neural network recruited demographically diverse populations with broad representation of age, sex, BMI, race, and skin tones. Table 2 below summarizes approximate development study demographic characteristics: Table 2."
K220499,unclear_manual_review,1,0,0,,0,1,"e. Final device validation included standalone performance validation. This performance validation testing demonstrated the Rapid PETN device provides accurate representation of key processing parameters under a range of clinically relevant perturbations associated with the intended use of the software. Software performance, validat"
K220786,technical_ml,1,0,0,,0,1,"re (multipolar atrial electrograms) as those used by the Volta VX1 device. Both devices also have similar outputs, the results of analysis of these signals and representation of this analysis on a computer display. The STAR Apollo Mapping System software performs analysis of individual per procedural data sets, with the algorithms b"
K220928,unclear_manual_review,1,0,0,,1,1,"JFIF, JIF, TIFF, EOP, BMP, DICOM Processing The software provides graphical Three layers: Architecture representation of the density change in 1 - The Network layer works with the a tooth, by looking for a practice PACS or EMR to transmit th"
K221248,unclear_manual_review,1,0,0,,0,1,and software verification and validation testing of the Rapid system. This performance validation testing demonstrated that the Rapid system provides accurate representation of key processing parameters under a range of clinically relevant parameters and perturbations associated with the intended use of the software. Software perfo
